playcount,name,tags,similar_artists
2,Nirvana,"Grunge, rock, alternative, alternative rock, 90s","Soundgarden, Hole, Alice in Chains, Mudhoney, Stone Temple Pilots, Pearl Jam, Silverchair, Foo Fighters, Mad Season, Temple of the Dog"
2,O Terno,"brazilian, indie, seen live, indie rock, rock","Tim Bernardes, Rubel, Boogarins, Vanguart, Terno Rei, Selvagens à Procura de Lei, Maglore, Apanhador Só, Cícero, Phill Veras"
2,Pat Metheny Trio,"jazz, Fusion, guitar, modern jazz, jazz guitar","Pat Metheny & Lyle Mays, Jim Hall & Pat Metheny, Metheny Mehldau, Pat Metheny, Dave Holland & Roy Haynes, John Scofield & Pat Metheny, Anna Maria Jopek & Friends with Pat Metheny, Chick Corea Akoustic Band, Metheny - Brubeck - BB King, Jonathan Kreisberg, The John Scofield Band"
2,Peanut Butter Wolf,"Hip-Hop, turntablism, hip hop, Stones throw, underground hip-hop","Lootpack, Percee P, Charizma & Peanut Butter Wolf, MF Grimm, Oh No, Jaylib, Madlib, Slum Village, Quasimoto, Mr. Lif"
2,Peggy Lee,"jazz, female vocalists, swing, blues, oldies","Julie London, Benny Goodman, Perry Como, Rosemary Clooney, The Andrews Sisters, Doris Day, Dean Martin, Tommy Dorsey, Ella Fitzgerald, Benny Goodman"
2,Peter Bjorn and John,"indie, swedish, indie pop, seen live, indie rock","Ra Ra Riot, The Shins, Generationals, Shout Out Louds, Architecture in Helsinki, Rogue Wave, Miike Snow, Phoenix, Broken Bells, The Dodos"
2,Pino Donaggio,"Soundtrack, italian, composer, spaghetti western, horror","Francesco De Masi, Franco Micalizzi, Jerry Goldsmith, Bruno Nicolai, Bernard Herrmann, Claudio Simonetti, Stelvio Cipriani, John Barry, Charles Bernstein, Maurice Jarre"
2,Primal Scream,"rock, indie, electronic, alternative, seen live","The Charlatans, Happy Mondays, The Stone Roses, Ian Brown, Super Furry Animals, Supergrass, The Verve, The Jesus and Mary Chain, Suede, The La's"
2,Prince,"funk, pop, soul, 80s, rock","Prince & The Revolution, Prince and the New Power Generation, The Time, Sheila E., The Family, Wendy & Lisa, George Clinton, Madhouse, Terence Trent D'Arby, Rick James"
2,Raimundos,"hardcore, rock, punk rock, brazilian, brasil","Matanza, Ultraje A Rigor, CPM 22, Charlie Brown JR., Planet Hemp, Capital Inicial, Titãs, Mamonas Assassinas, Os Paralamas Do Sucesso, Ira!"
2,Rios Voadores,,"Joe Silhueta, Almirante Shiva, Transquarto, Cachalote Fuzz, Vintage Vantage, Douglas Germano, Quarto Ácido, Samuca e a Selva, Bruna Mendez, Supervibe"
2,Robert Johnson,"blues, delta blues, guitar, acoustic, folk","Son House, Leadbelly, Muddy Waters, Lightnin' Hopkins, Elmore James, Skip James, Howlin' Wolf, Blind Willie McTell, Blind Willie Johnson, Charley Patton"
2,Selah Sue,"soul, female vocalists, jazz, singer-songwriter, seen live","Ayo, Joss Stone, Nneka, Duffy, Izzy Bizu, Charlie Winston, Irma, Lianne La Havas, Ben Harper, Ben l'Oncle Soul"
2,Sérgio Sampaio,"mpb, 70s, brazilian, brasil, rock","JARDS MACALÉ, Tom Zé, Itamar Assumpção, Belchior, Luiz Melodia, Jorge Mautner, Ednardo, Ave Sangria, Erasmo Carlos, Di Melo"
2,Sibylle Baier,"folk, singer-songwriter, female vocalists, acoustic, 70s","Vashti Bunyan, Karen Dalton, Jackson C. Frank, Linda Perhacs, Connie Converse, Nico, Nick Drake, Josephine Foster, Jessica Pratt, Judee Sill"
2,Sly & The Family Stone,"funk, soul, rhythm and blues, rock, classic rock","Parliament, Funkadelic, James Brown, Curtis Mayfield, The Isley Brothers, The Meters, Marvin Gaye, Ohio Players, Al Green, Isaac Hayes"
2,Spacemen 3,"shoegaze, space rock, psychedelic, Psychedelic Rock, indie","Spectrum, Spiritualized, Loop, Sonic Boom, The Brian Jonestown Massacre, The Telescopes, Flying Saucer Attack, 13th Floor Elevators, Galaxie 500, The Jesus and Mary Chain"
2,St. Lawrence String Quartet,"Classical, Contemporary, classic, jewish, minimalist","Juilliard String Quartet, Borodin String Quartet, Paavo Järvi: Deutsche Kammerphilharmonie Bremen, Dawn Upshaw & The Andalucian Dogs, Herbert von Karajan; Berlin Philharmonic Orchestra, L'Archibudelli, yMusic, Berlin Philharmonic Wind Quintet, Brodsky Quartet, Keller Quartett"
2,Stvz,"rock, alternative, experimental, Lo-Fi, brazil","Irmão Victor, Rabanadas, Gaax, Negro Leo, Hierofante Púrpura, Calvin Voichicoski, LuvBugs, Carne Doce, XOO, Inky"
2,T. Rex,"glam rock, classic rock, rock, 70s, glam","Marc Bolan, Slade, Mott the Hoople, The Kinks, Sweet, Roxy Music, David Bowie, Lou Reed, New York Dolls, The Rolling Stones"
2,Terrestrial Tones,"noise, experimental, electronic, psychedelic, weird","Excepter, Blind Man's Colour, Soft Circle, Raccoo-oo-oon, Mouthus, Universal Studios Florida, Black Dice & Wolf Eyes, Double Leopards, Religious Knives, Wzt Hearts"
2,The Beach Boys,"classic rock, 60s, pop, Surf, rock","Brian Wilson, Dennis Wilson, Van Dyke Parks, The Beatles, The Zombies, The Byrds, Jan & Dean, The Monkees, The Kinks, The Ronettes"
2,The Coasters,"oldies, Rock and Roll, soul, 60s, rockabilly","Eddie Cochran, The Del-Vikings, The Drifters, The Marcels, The Shirelles, The Chiffons, Dion & The Belmonts, Fats Domino, The Chantels, Danny & The Juniors"
2,The Feelies,"post-punk, new wave, indie, alternative, 80s","Mission of Burma, The Soft Boys, Young Marble Giants, The Clean, Orange Juice, The dB's, The Raincoats, Gang of Four, The Dream Syndicate, Josef K"
2,The Hold Steady,"seen live, indie rock, rock, indie, alternative","Titus Andronicus, Ted Leo and the Pharmacists, The Weakerthans, The Thermals, The Gaslight Anthem, Japandroids, Superchunk, Okkervil River, The Replacements, The New Pornographers"
2,The Meters,"funk, soul, New Orleans, 70s, groove","The J.B.'s, Tower of Power, Lee Dorsey, Graham Central Station, James Brown, Parliament, Dr. John, Ohio Players, The Bar-Kays, Sly & The Family Stone"
2,Thurston Moore / Nels Cline,"noise, lesser known yet streamable artists, provisional laysa notes on nighttime, Musique actuelle, paved Wiener","Dim Stars, The Nels Cline Singers, Thurston Moore, Jim Dunbar, Don Flemming, The Coachmen, Nels Cline & Gregg Bendian, Mats Gustafsson-Jim O'Rourke-Thurston  Moore, Diskaholics Anonymous Trio, Mats Gustafsson and Sonic Youth, Mirror/Dash, The Grassy Knoll"
2,Tim Buckley,"singer-songwriter, folk, psychedelic, rock, folk-rock","Jeff Buckley, Nick Drake, Fred Neil, Jackson C. Frank, Robert Wyatt, Nico, Bert Jansch, John Martyn, Donovan, Roy Harper"
2,Tim Maia,"soul, mpb, funk, brazilian, brasil","Jorge Ben, Belchior, Novos Baianos, Cartola, Gilberto Gil, Cassiano, Milton Nascimento, Chico Buarque, Raul Seixas, Secos & Molhados"
2,Tomorrow,"Psychedelic Rock, psychedelic, 60s, classic rock, rock","The Pretty Things, The Idle Race, John's Children, The Smoke, Kaleidoscope, The Nice, The Move, Grapefruit, Strawberry Alarm Clock, Moby Grape"
2,Toni Tornado,"soul, funk, brazilian, brazil, mpb","Hyldon, Wilson Simonal, Tim Maia, Curumin, Banda Black Rio, Cassiano, Di Melo, Erasmo Carlos, JARDS MACALÉ, Sérgio Sampaio"
2,Tony Matterhorn,"dancehall, reggae, Bashment, Reggaeton, sound system","Voicemail, Munga, Bling Dawg, Macka Diamond, Kiprich, Ding Dong, Bugle, Baby Cham, Chino, Frisco Kid"
2,Toquinho & Vinícius,"Bossa Nova, mpb, brasil, brazilian, musica popular brasileira","Toquinho & Vinicius, Toquinho e Vinicius, Chico Buarque & Maria Bethânia, Vinicius de Moraes e Toquinho, Vinicius de Moraes & Toquinho, Chico Buarque & Edu Lobo, Tom Jobim & Elis Regina, Baden Powell & Vinícius De Moraes, Francis Hime, Edu Lobo & Tom Jobim"
2,Toquinho e Vinicius,"Bossa Nova, mpb, brazilian, brasil, brazil","Vinicius de Moraes e Toquinho, Toquinho e Vinícius, Toquinho & Vinicius, Vinicius de Moraes & Toquinho, Chico Buarque & Maria Bethânia, Toquinho & Vinícius, Caetano Veloso & Chico Buarque, Vinicius,Toquinho,Marilia Medalha, Baden Powell & Vinícius De Moraes, Toquinho e Vinícius de Moraes"
2,Tower of Power,"funk, soul, jazz, Fusion, funky","Maceo Parker, The Meters, Average White Band, Graham Central Station, Incognito, Lettuce, Ohio Players, The J.B.'s, Vulfpeck, Earth, Wind & Fire"
2,Tracie Thoms & Zoe Bell,"Soundtrack, spoken word, grindhouse, All, Fuck Off","Eli Roth & Michael Bacall, Eddie Beram, David Carradine and Uma Thurman, Samantha Shelton and Michael Andrew, The Film Studio Orchestra, Alan Reeves / Phil Steele / Philip Brigham, David Carradine, Julie Dreyfus And Uma Thurman, Eddie Bunker/Harvey Keitel/Lawrence Tierney/Quentin Tarantino/Steve Buscemi, John Travolta & Samuel L. Jackson, Lucy Liu and Julie Dreyfus"
2,U.S. Girls,"psychedelic, experimental, noise, Avant-Garde, seen live","Let's Eat Grandma, Julia Holter, Amen Dunes, Gang Gang Dance, Holly Herndon, Melody's Echo Chamber, Ariel Pink, Laurel Halo, Hookworms, Young Fathers"
2,Victor Biglione,"guitar, brazil, guitar virtuoso, brazilian music, Fusion","Cama de Gato, Ricardo Silveira, Hélio Delmiro, Andy Summers & Victor Biglione, Marco Pereira, Paulo Bellinati, Duofel, Marcos Ariel, Torcuato Mariano, Ulisses Rocha"
2,Victor Wooten,"jazz, bass, funk, Fusion, instrumental","Marcus Miller, Jaco Pastorius, Stanley Clarke, Brian Bromberg, Béla Fleck and the Flecktones, Snarky Puppy, Dave Weckl Band, Béla Fleck, Weather Report, Alain Caron"
2,Weather Report,"jazz, Fusion, jazz fusion, instrumental, funk","Jaco Pastorius, Return to Forever, Joe Zawinul, Herbie Hancock, Mahavishnu Orchestra, Billy Cobham, John McLaughlin, Chick Corea, Brand X, Wayne Shorter"
2,Willy DeVille,"rock, blues, singer-songwriter, latin, folk","Mink DeVille, Joe Jackson, John Hiatt, Ry Cooder, Eric Burdon, Van Morrison, Tanita Tikaram, J.J. Cale, Eric Bibb, Sonny Landreth"
2,Wordclock,"dark ambient, ambient, dark jazz, cryo chamber, electronica","Council of Nine, Randal Collier-Ford, Dronny Darko, God Body Disconnect, protoU, Atrium Carceri, Alphaxone, Ugasanie, Dead Melodies, Flowers For Bodysnatchers"
2,X,"punk, punk rock, rock, 80s, seen live","The Germs, Fear, The Gun Club, Minutemen, Wipers, The Replacements, The Damned, Dead Boys, Richard Hell and the Voidoids, T.S.O.L."
2,XTC,"new wave, post-punk, 80s, pop, alternative","Squeeze, Elvis Costello & The Attractions, The Soft Boys, Wire, Magazine, Andy Partridge, Elvis Costello, Prefab Sprout, Devo, Shriekback"
2,Yamandú Costa,"instrumental, brazilian, choro, guitar, mpb","Hamilton de Holanda, Baden Powell, Dorival Caymmi, Mônica Salmaso, João Bosco, Paulinho Da Viola, Jorge Ben, Dori Caymmi, Toninho Horta, Toquinho"
1,[unknown],"mysterious, mistagged artist, unknown, rock, Soundtrack",
1,79.5,"funk, new york","Louis Cole, David Axelrod, Stimulator Jones, Georgia Anne Muldrow, Kamaal Williams, Adrian Younge, El Michels Affair, Lee Fields & The Expressions, Nu Guinea, Phony Ppl"
1,Aaron Smith,"House, Hip-Hop, rap, dance, tech house","Swanky Tunes, Y2K, Madcon, Merk & Kremont, One-T, Martin Garrix, Feder, Pascal Letoublon, Alesso, Duke Dumont"
1,Abel Ferreira,"choro, brasil, jazz, latin, latin jazz","Waldir Azevedo, Joel Nascimento, Altamiro Carrilho, Carlos Poyares, Jacob Do Bandolim, Canhoto da Paraíba, Garoto, Abel Ferreira e seu Conjunto, Raphael Rabello & Dino 7 Cordas, Henrique Cazes"
1,AC/DC,"hard rock, classic rock, rock, heavy metal, metal","Aerosmith, Motörhead, Guns N' Roses, Kiss, Airbourne, Van Halen, Black Sabbath, Ozzy Osbourne, Deep Purple, Def Leppard"
1,Adriana Calcanhotto,"mpb, female vocalists, brazilian, brasil, brazil","Maria Bethânia, Marisa Monte, Vanessa da Mata, Gal Costa, Marina Lima, Maria Rita, Caetano Veloso, Ana Carolina, Elis Regina, Ney Matogrosso"
1,Africa Express,"jazz, UK, african, mali, afrobeat","KOKOKO!, Ibibio Sound Machine, Fatoumata Diawara, Tinariwen, Kit Sebastian, Alfa Mist, Sinkane, Salif Keita, Francis Bebey, Kokoroko"
1,Alain Goraguer,"jazz, Soundtrack, french, experimental, 70s","François de Roubaix, Goblin, Lalo Schifrin, Jean-Claude Vannier, Piero Piccioni, David Axelrod, Alice Coltrane, Jonny Greenwood, Michel Colombier, Herbie Hancock"
1,Alan Hawkshaw & Alan Parker,"library music, Acid Rock, blow up",
1,Alban Berg Qt.,"Classical, String Quartet, contemporary classical, austrian, string quartett","Borodin Quartet, Emerson String Quartet, Glenn Gould, Quartetto Italiano, Amadeus Quartet, Alfred Brendel, Beaux Arts Trio, Herbert von Karajan, Wilhelm Kempff, Leonard Bernstein"
1,Alice Coltrane,"jazz, free jazz, Avant-Garde, experimental, psychedelic","Pharoah Sanders, Sun Ra, Don Cherry, Ornette Coleman, Archie Shepp, Eric Dolphy, Albert Ayler, John Coltrane, Yusef Lateef, Sonny Sharrock"
1,Altered Images,"new wave, 80s, post-punk, Scottish, pop","Blancmange, Toyah, Aztec Camera, Haircut 100, Bow Wow Wow, ABC, The Human League, Heaven 17, Adam and the Ants, Lloyd Cole and The Commotions"
1,Amen Dunes,"Lo-Fi, folk, psychedelic, experimental, Garage Rock","U.S. Girls, Kurt Vile, Hookworms, Kevin Morby, Stephen Malkmus and the Jicks, Smog, Ty Segall & White Fence, Phosphorescent, Gang Gang Dance, Helado Negro"
1,Amon Düül II,"krautrock, Progressive rock, psychedelic, Psychedelic Rock, experimental","Agitation Free, Faust, Amon Düül, Can, Guru Guru, Cluster, Popol Vuh, Neu!, Ash Ra Tempel, Embryo"
1,ANDRE MEHMARI NA OZZETTI,"brasil, mpb, All","Ná Ozzetti, André Mehmari, Mildred Pierce, Savonlinnan Oopperajuhlakuoro and Kyösti Haatanen (Conductor), Vaipae, Aitutaki, Schola Gregoriana Pragensis and Ch�r Grégorien de Paris, Oibola, Langa Langa Lagoon, The Postman Always Rings Twice, herbert katz, Kelly Pace & Group"
1,Andrew Gouche,,"Dennis Nelson, Hollywood Paul Litteral, Karen Briggs, Mike-Mike Phillips, Budda Blast, Jeff Bradshaw, Frank Ski, Larry Dunn, Enrique Corro, Jazmin Ghent"
1,Anika,"Lo-Fi, electronic, Avant-Garde, experimental, seen live","John Maus, Geneva Jacuzzi, Dirty Beaches, Dean Blunt, Tropic of Cancer, Carla dal Forno, Hype Williams, Nite Jewel, The Limiñanas, Suuns"
1,Annio Morricone,"Soundtrack, instrumental, Classical, composer, italian","John Barry, Nino Rota, Bruno Nicolai, Luis Bacalov, Riz Ortolani, Jerry Goldsmith, Bernard Herrmann, Stelvio Cipriani, Maurice Jarre, Hans Zimmer"
1,Anton Maiden,"metal, 8-bit, Tribute, heavy metal, midi","The Iron Maidens, Eilert Pilarm, Rally, Svullo, Numbers From The Beast, Black Ingvars, Björn Rosenström, Hassan, LOK, Tampong Tomtarna"
1,Aphex Twin,"electronic, idm, ambient, experimental, electronica","AFX, Polygon Window, The Tuss, Caustic Window, Autechre, Boards of Canada, Squarepusher, GAK, µ-Ziq, Mike & Rich"
1,Arnaldo Baptista,"psychedelic, rock, brasil, brazilian, classic rock","Os Mutantes, JARDS MACALÉ, Júpiter Maçã, Walter Franco, Tom Zé, Ronnie Von, Sérgio Sampaio, Erasmo Carlos, Secos & Molhados, Jorge Mautner"
1,Arnold Schoenberg,"Classical, contemporary classical, Avant-Garde, atonal, 20th Century Classical","Alban Berg, Anton Webern, Olivier Messiaen, Igor Stravinsky, György Ligeti, Béla Bartók, Iannis Xenakis, Morton Feldman, Edgard Varèse, Paul Hindemith"
1,Arrangement,,"Sol Monk, Emerson Kitamura, Pete Brandt's Method, Carlos Maria, オノシュンスケ, Wu-lu, Wilma Archer, h hunt, L'Rain, Swamimillion"
1,Art Brut,"seen live, indie, indie rock, british, rock","The Rakes, The Futureheads, Maxïmo Park, British Sea Power, The Cribs, The Hold Steady, Razorlight, Young Knives, Good Shoes, The Good, the Bad & the Queen"
1,Arthur Verocai,"jazz, Bossa Nova, brazilian, mpb, world","Marcos Valle, Lô Borges, Milton Nascimento, JARDS MACALÉ, João Donato, Edu Lobo, Jorge Ben, Di Melo, Hermeto Pascoal, Azymuth"
1,As Bahias e a Cozinha Mineira,"mpb, seen live, brazilian, soul, male vocalists","Liniker e os Caramelows, Johnny Hooker, Alice Caymmi, Luedji Luna, Tulipa Ruiz, Anelis Assumpção, Filipe Catto, Mc Tha, Caio Prado, Potyguara Bardo"
1,Asobi Seksu,"shoegaze, dream pop, indie, female vocalists, japanese","A Sunny Day In Glasgow, MASS OF THE FERMENTING DREGS, きのこ帝国, Luminous Orange, Lush, Ringo Deathstarr, Drop Nineteens, Candy Claws, Pinkshinyultrablast, Swirlies"
1,Autechre,"idm, electronic, experimental, ambient, electronica","Gescom, Aphex Twin, AFX, Squarepusher, The Tuss, µ-Ziq, Boards of Canada, Plaid, Polygon Window, Richard Devine"
1,Autolux,"shoegaze, indie, indie rock, seen live, alternative","Swervedriver, Blonde Redhead, Film School, No Joy, Ringo Deathstarr, Swirlies, Curve, Catherine Wheel, A Place to Bury Strangers, Atlas Sound"
1,Ave Sangria,"Psychedelia, tropicalia, brazilian, psychedelic, mpb","Os Mutantes, Sérgio Sampaio, Tom Zé, Secos & Molhados, Novos Baianos, Jorge Mautner, JARDS MACALÉ, Som Imaginário, Belchior, Boogarins"
1,Azymuth,"jazz, acid jazz, brazilian, funk, lounge","Marcos Valle, Banda Black Rio, Bobbi Humphrey, Deodato, Idris Muhammad, Lonnie Liston Smith & The Cosmic Echoes, Roy Ayers, Weldon Irvine, Arthur Verocai, Bob James"
1,Babyfather,"Hip-Hop, experimental, Grime, seen live, experimental hip hop","Dean Blunt, Dean Blunt and Inga Copeland, Lolina, Amnesia Scanner, Gaika, Cities Aviv, Eartheater, Klein, Sd Laika, Lotic"
1,Bad Religion,"punk, punk rock, seen live, political, rock","Pennywise, NOFX, Lagwagon, Rancid, Descendents, Millencolin, Good Riddance, Propagandhi, Anti-Flag, No Use for a Name"
1,Baden Powell,"Bossa Nova, brazilian, jazz, mpb, brasil","Toquinho, Vinicius de Moraes, Dorival Caymmi, João Gilberto, Antônio Carlos Jobim, Luiz Bonfá, Nara Leão, Paulinho Da Viola, Chico Buarque, Gilberto Gil"
1,Baden Powell - Vinicius de Moraes,"60s, mpb","Vinicius de Moraes e Toquinho, Laurindo Almeida & Baden Powell, Stan Getz, João Gilberto, Astrud Gilberto, Yamandu Costa, Ney Matogrosso & Pedro Luís e A Parede, Chico Buarque/Maria Bethania, Tropicalia ou Panis Et Circensis, MPB Compositores, Toquinho e Vinicius, Jacob Do Bandolim"
1,Baiano e os Novos Caetanos,"brazilian, tropicalia, samba, comedy, Forro","Elomar, Geraldo Azevedo, Vital Farias, Xangai, Rogério Duprat, Doces Bárbaros, Marconi Notaro, Sá, Rodrix & Guarabyra, Sá & Guarabyra, Marku Ribas, Os Brazões, Orquestra Contemporânea de Olinda, Xangai"
1,Band of Horses,"indie, indie rock, seen live, alternative, Alt-country","The Shins, My Morning Jacket, Blind Pilot, Rogue Wave, The Decemberists, Death Cab for Cutie, Local Natives, The National, Cold War Kids, Iron & Wine"
1,Barbárfivérek,hungarian hip-hop,"Killakikitt, Siska Finuccsi, Tirpa, Tibbah, killakikitt feat saiid, killakikitt feat pko, Norba, Barbárfivérek - Finuccsi, NKS, killakikitt feat nks"
1,Barry Louis Polisar,"folk, indie, Brutal Death Metal, drops wet cement on unsuspecting crippled children, juno","Mateo Messina, Kimya Dawson, Antsy Pants, The Moldy Peaches, Noah and the Whale, Langhorne Slim, The Tallest Man on Earth, Houndmouth, Loch Lomond, Roo Panes"
1,Bat for Lashes,"female vocalists, indie, alternative, singer-songwriter, folk","Angel Olsen, Jenny Hval, Cat Power, PJ Harvey, Feist, Anna Calvi, Lykke Li, Kate Bush, Fiona Apple, Sharon Van Etten"
1,Beck,"alternative, indie, rock, singer-songwriter, indie rock","The Flaming Lips, Spoon, Ween, The White Stripes, Wilco, Eels, Radiohead, R.E.M., Frank Black, Cake"
1,Beethoven,"Classical, instrumental, composers, romantic, classic","Wolfgang Amadeus Mozart, Franz Schubert, Johann Sebastian Bach, Johannes Brahms, Robert Schumann, Frédéric Chopin, Franz Joseph Haydn, Felix Mendelssohn, Antonín Dvořák, Gustav Mahler"
1,Belinda Carlisle,"pop, 80s, female vocalists, new wave, female","Bananarama, Kim Wilde, Samantha Fox, Laura Branigan, The Bangles, Martika, Wilson Phillips, The Go-Go's, Climie Fisher, T'Pau"
1,Benny Carter,"jazz, swing, Big Band, saxophone, benny carter","Roy Eldridge, Coleman Hawkins, Lionel Hampton, Teddy Wilson, Fletcher Henderson, Count Basie, Count Basie & His Orchestra, Ben Webster, Earl Hines, Lester Young"
1,Benny Goodman,"jazz, swing, Big Band, clarinet, oldies","Artie Shaw, Tommy Dorsey, Benny Goodman, Glenn Miller, Count Basie, Harry James, The Andrews Sisters, Benny Goodman and His Orchestra, Lionel Hampton, Teddy Wilson"
1,Bertrand Belin,"nouvelle scene francaise, french, singer-songwriter, seen live, nouvelle chanson francaise","Dominique A, Alain Bashung, Jean-Louis Murat, Arthur H, Albin de la Simone, Étienne Daho, Miossec, Christophe, Benjamin Biolay, Florent Marchet"
1,Beverly Glenn-Copeland,"folk, ambient, experimental, jazz","Yasuaki Shimizu, Gigi Masin, Alice Coltrane, Jon Hassell, Eartheater, Pauline Anna Strom, Inoyama Land, 細野晴臣, Kaitlyn Aurelia Smith, Hiroshi Yoshimura"
1,Big Black,"noise rock, post-punk, punk, noise, hardcore","Shellac, Rapeman, The Jesus Lizard, Scratch Acid, Drive Like Jehu, Flipper, Cows, Swans, Butthole Surfers, Unwound"
1,Black Alien,"rap, Hip-Hop, ragga, brazilian, brazil","Sabotage, DJONGA, Racionais Mc's, Marcelo D2, Planet Hemp, Hot e Oreia, Criolo, Don L, Emicida, Rodrigo Ogi"
1,Blue Hawaii,"dream pop, chillwave, Lo-Fi, ambient, experimental","Braids, Teen Daze, Blackbird Blackbird, Glasser, Young Galaxy, Active Child, Summer Heart, Mr Twin Sister, Porcelain Raft, Washed Out"
1,Bobby Wright,"soul, USA","Robert Vanderbilt, The Defaulters, Robert Vanderbilt & The Foundation Of Souls, Alain Bellaïche, Jamila Woods, The Rationals, Sudan Archives, Gloria Ann Taylor, Shuggie Otis, Dan Kye"
1,Bon Iver,"folk, indie, singer-songwriter, acoustic, Lo-Fi","Volcano Choir, Justin Vernon, Sufjan Stevens, Ben Howard, Vampire Weekend, The Tallest Man on Earth, S. Carey, Fleet Foxes, Angel Olsen, Whitney"
1,Boogie Down Productions,"Hip-Hop, rap, hip hop, old school, Old School Hip Hop","KRS-One, EPMD, Eric B. & Rakim, Big Daddy Kane, LL Cool J, Whodini, Biz Markie, MC Lyte, Kool G Rap & DJ Polo, Ultramagnetic MC's"
1,Bootsy Collins,"funk, p-funk, soul, bass, funky","George Clinton, Parliament, Funkadelic, Graham Central Station, Zapp, Bootsy's Rubber Band, The Bar-Kays, Ohio Players, Eddie Hazel, Larry Graham"
1,Boredoms,"experimental, noise, noise rock, japanese, Avant-Garde","OOIOO, Hanatarash, Melt-Banana, This Heat, Les Rallizes Dénudés, Naked City, Fushitsusha, Ground Zero, Ruins, Boris"
1,Braids,"electronic, experimental, indie pop, Canadian, seen live","Blue Hawaii, Hundred Waters, Glasser, Lydia Ainsworth, Austra, Chairlift, Purity Ring, Empress Of, Young Galaxy, Majical Cloudz"
1,Brian Eno and David Byrne,"experimental, electronic, ambient, post-punk, eno","Brian Eno, Brian Eno & John Cale, Fripp & Eno, Harold Budd/Brian Eno, Cluster & Brian Eno, John Cale, Brian Eno & Jon Hassell, Laurie Anderson, Robert Fripp, David Sylvian"
1,Brian Melvin/jaco pastorius,"jazz, funk","Brian Melvin's Nightfood, Lagrene Birelli & Jaco Pastorius, Albert Mangelsdorff, Alphonse Mouzon & Jaco Pastorius, Miles Davis/The Lighthouse All-Stars, PDB, Miles Davis/The Modern Jazz Giants, L'Orchestre De Gil Evans/Miles Davis, Flanagan, Coltrane Burell, Brian Melvin, Miles Davis All-Stars/Miles Davis Quintet"
1,Bruce Springsteen,"rock, classic rock, singer-songwriter, 80s, folk","Bruce Springsteen & The E Street Band, John Mellencamp, Tom Petty and The Heartbreakers, Neil Young, Bob Dylan, Tom Petty, Van Morrison, Jackson Browne, Billy Joel, U2"
1,Bud Powell,"jazz, bebop, piano, jazz piano, bop","Dexter Gordon, McCoy Tyner, Clifford Brown, Sonny Rollins, Thelonious Monk, Lee Morgan, Charlie Parker, Horace Silver, Sonny Clark, Hank Mobley"
1,Buzzcocks,"punk, punk rock, british, new wave, rock","Pete Shelley, The Undertones, The Damned, The Ruts, The Jam, The Clash, Stiff Little Fingers, The Stranglers, X-Ray Spex, The Skids"
1,Caetano Veloso e Roberto Carlos,"mpb, Bossa Nova, lounge, brazilian music","Elis Regina, Caetano Veloso, Gilberto Gil, MPB4, Gal Costa, João Bosco, Daniel Jobim, Chico Buarque & Milton Nascimento, Chico Buarque & Toquinho, Cazuza & Bebel Gilberto, Adriana Calcanhoto, Ana Carolina e Marisa Monte, Chico Buarque & Maria Bethânia, Chico Buarque e Tom Jobim, Elis Regina e Tom Jobim, Roberto Carlos e Caetano Veloso"
1,Calexico / Iron & Wine,"folk, indie, Alt-country, singer-songwriter, acoustic","Iron & Wine, Calexico, Bill Callahan, Jenny Lewis, Jeff Tweedy, Josh Ritter, Strand of Oaks, The Tallest Man on Earth, Justin Townes Earle, Andrew Bird"
1,Camille Saint-Saens,"Classical, romantic, french, composers, composer","Gabriel Fauré, Franz Liszt, Antonín Dvořák, Felix Mendelssohn, Franz Schubert, Maurice Ravel, Robert Schumann, Pyotr Ilyich Tchaikovsky, Edvard Grieg, Claude Debussy"
1,Candeia,"samba, brasil, brazilian, mpb, candeia","Dona Ivone Lara, Paulinho Da Viola, Nelson Cavaquinho, Martinho Da Vila, Clementina De Jesus, Beth Carvalho, João Nogueira, Almir Guineto, Grupo Fundo De Quintal, Zeca Pagodinho"
1,Canhotinho,"brazilian, brazil, brasil, sertanejo, choro","Tôco Preto, Nilze Carvalho, Evandro do Bandolim, Grupo Vou Vivendo, Bando de Macambira, Evandro Do Bandolim E Seu Regional, Conjunto Época De Ouro, Benedito Costa, Panorama do Choro, Choro das 3"
1,Carlos Cachaça,"samba, samba de raiz, brasil, brazilian","Xangô Da Mangueira, Nelson Sargento, Aniceto do Império, Ismael Silva, Elton Medeiros, Monarco, A Voz Do Morro, Velha Guarda da Mangueira, Mussum, Guilherme De Brito"
1,Cass McCombs,"singer-songwriter, folk, seen live, indie, alternative","Steve Gunn, Cotton Jones, Kevin Morby, Bill Callahan, Jessica Pratt, Damien Jurado, Phosphorescent, Jeff Tweedy, M. Ward, Smog"
1,Charlie Parker,"jazz, bebop, saxophone, blues, bop","Charlie Parker Quintet, Dizzy Gillespie, Charlie Parker Quartet, Sonny Rollins, Thelonious Monk, Bud Powell, Cannonball Adderley, Dexter Gordon, Charlie Parker & Dizzy Gillespie, Miles Davis"
1,Charlotte Gainsbourg,"french, female vocalists, indie, singer-songwriter, pop","Jane Birkin, Lou Doillon, Anna Calvi, Christine and the Queens, Cat Power, Keren Ann, Camille, Feist, Bat for Lashes, Vanessa Paradis"
