playcount,name,tags,similar_artists
39,João Donato,"Bossa Nova, jazz, brazilian, mpb, brasil","Antônio Carlos Jobim, João Gilberto, Carlos Lyra, Marcos Valle, Toquinho, Vinícius de Moraes, Nara Leão, Os Cariocas, Ivan Lins, Tamba Trio"
37,Michael Jackson,"pop, 80s, dance, soul, funk","The Jacksons, The Jackson 5, Janet Jackson, Michael Jackson & Paul McCartney, 3T, Whitney Houston, Madonna, Prince, George Michael, Bruno Mars"
37,Neil Young,"classic rock, singer-songwriter, rock, folk, folk rock","Neil Young & Crazy Horse, Crosby, Stills, Nash & Young, Buffalo Springfield, Bob Dylan, The Band, Crazy Horse, Stephen Stills, The Stills-Young Band, Crosby, Stills & Nash, Van Morrison"
35,Architecture in Helsinki,"indie, indie pop, australian, seen live, alternative","Islands, Clap Your Hands Say Yeah, The Apples in Stereo, The Go! Team, Stars, I'm from Barcelona, The Fiery Furnaces, Tilly and the Wall, of Montreal, Bishop Allen"
35,Camera Obscura,"indie pop, indie, female vocalists, Scottish, twee","Belle and Sebastian, Allo Darlin', The Concretes, God Help the Girl, The School, Saturday Looks Good To Me, Acid House Kings, The Softies, Jens Lekman, The Pains of Being Pure at Heart"
35,Deerhoof,"experimental, seen live, indie, indie rock, noise rock","The Fiery Furnaces, No Age, Marnie Stern, OOIOO, Dirty Projectors, Melt-Banana, Xiu Xiu, Liars, tUnE-yArDs, Hella"
34,JAY-Z,"Hip-Hop, rap, hip hop, east coast rap, jay-z",
34,Morphine,"jazz, alternative, rock, blues, indie","Mark Sandman, Treat Her Right, Bourbon Princess, Twinemen, Soul Coughing, Mark Lanegan, Nick Cave & The Bad Seeds, Tom Waits, Grinderman, Black Rebel Motorcycle Club"
33,Joshua Redman,"jazz, saxophone, Fusion, jazz saxophone, Tenor Sax","Joshua Redman Quartet, Brad Mehldau, Joe Lovano, Chris Potter, Kenny Garrett, Brad Mehldau Trio, Joe Henderson, Tord Gustavsen Trio, Roy Hargrove, Aaron Parks"
33,Massive Attack,"trip-hop, electronic, chillout, downtempo, electronica","Tricky, UNKLE, Portishead, Morcheeba, DJ Shadow, Martina Topley-Bird, Sneaker Pimps, Lamb, Thievery Corporation, Massive Attack vs. Mad Professor"
33,Slowdive,"shoegaze, dream pop, ambient, indie, shoegazer","My Bloody Valentine, Mojave 3, Cocteau Twins, Ride, Chapterhouse, Galaxie 500, Drop Nineteens, Lush, Pale Saints, Have a Nice Life"
33,Sufjan Stevens,"indie, folk, singer-songwriter, alternative, indie rock","Fleet Foxes, Joanna Newsom, Bon Iver, The Microphones, Neutral Milk Hotel, The Mountain Goats, Elliott Smith, Mount Eerie, Father John Misty, Andrew Bird"
33,The Replacements,"alternative, punk, post-punk, rock, alternative rock","Paul Westerberg, Hüsker Dü, Mission of Burma, Minutemen, Sugar, X, Wipers, Pavement, Superchunk, The Gun Club"
32,Andrew Bird's Bowl of Fire,"jazz, indie, swing, folk, singer-songwriter","Andrew Bird, Squirrel Nut Zippers, M. Ward, Department of Eagles, Okkervil River, Josh Ritter, Devendra Banhart, Rufus Wainwright, Bonnie 'Prince' Billy, Lady Lamb the Beekeeper"
32,The Who,"classic rock, rock, british, 60s, hard rock","Pete Townshend, The High Numbers, The Rolling Stones, The Kinks, Cream, Roger Daltrey, Small Faces, Led Zeppelin, The Yardbirds, Traffic"
31,Nick Cave and the Bad Seeds,"post-punk, rock, alternative, singer-songwriter, alternative rock","Grinderman, The Birthday Party, Tom Waits, Nick Cave, PJ Harvey, The Boys Next Door, Leonard Cohen, Mick Harvey, Mark Lanegan, Rowland S. Howard"
31,The Verve,"britpop, rock, alternative, indie, british","Richard Ashcroft, Oasis, The Stone Roses, Beady Eye, The Charlatans, Noel Gallagher's High Flying Birds, Ian Brown, Blur, The La's, Travis"
30,Pulp,"britpop, indie, british, alternative, rock","Jarvis Cocker, Suede, Blur, Supergrass, The Stone Roses, Manic Street Preachers, Elastica, James, Oasis, The Libertines"
29,Broken Social Scene,"indie, indie rock, Canadian, seen live, post-rock","Kevin Drew, Stars, Brendan Canning, Wolf Parade, Land of Talk, Destroyer, Built to Spill, The New Pornographers, Do Make Say Think, Feist"
29,Jackson Conti (Madlib & Mamao),"jazz, Madlib, Stones throw, Fusion, nu-jazz","Monk Hughes & The Outer Realm, The Last Electro-Acoustic Space Jazz & Percussion Ensemble, Young Jazz Rebels, DJ Rels, Otis Jackson Jr. Trio, J.ROCC, Ahmad Miller, Baron Zen, Roc C, Suntouch"
29,Led Zeppelin,"classic rock, rock, hard rock, 70s, Progressive rock","Deep Purple, The Rolling Stones, The Who, Jimi Hendrix, Pink Floyd, The Doors, Cream, Black Sabbath, Robert Plant, The Jimi Hendrix Experience"
28,Crystal Castles,"electronic, 8-bit, new rave, electro, seen live","Crim3s, You Love Her Coz She's Dead, White Ring, Grimes, Salem, Kap Bambino, Bondage Fairies, The Knife, Alice Glass, Heartsrevolution"
28,My Bloody Valentine,"shoegaze, dream pop, indie, alternative, indie rock","Slowdive, Swirlies, Astrobrite, The Jesus and Mary Chain, Drop Nineteens, Ride, Chapterhouse, lovesliescrushing, Lush, Medicine"
27,Tears for Fears,"new wave, 80s, pop, synth pop, rock","Duran Duran, Simple Minds, Howard Jones, The Human League, a-ha, Thompson Twins, Talk Talk, Orchestral Manoeuvres in the Dark, A Flock of Seagulls, Ultravox"
27,The Ladybug Transistor,"indie pop, Elephant 6, indie, seen live, twee","The Essex Green, The Apples in Stereo, Elf Power, The Gerbils, The Minders, Dressy Bessy, Circulatory System, Beulah, Camera Obscura, The Aislers Set"
26,Battles,"math rock, experimental, seen live, post-rock, instrumental","Don Caballero, Holy Fuck, Tera Melos, Lightning Bolt, Hella, Giraffes? Giraffes!, Three Trapped Tigers, Lite, Tortoise, And So I Watch You From Afar"
